Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro;MotorTransAngle
33261000;-9.778240E+000;4.950650E+000;-1.552740E+002;-1.553316E+002;-3.251953E+000
33273000;-9.972288E+000;2.142677E+000;-1.552740E+002;-1.553960E+002;-4.482422E+000
33287000;-9.279669E+000;4.158769E-001;-1.552740E+002;-1.554270E+002;-5.361328E+000
33300000;-7.854761E+000;-5.191525E-001;-1.552740E+002;-1.554370E+002;-5.800781E+000
33314000;-5.794148E+000;-1.107126E+000;-1.552740E+002;-1.554424E+002;-5.844727E+000
33328000;-2.846486E+000;-1.067443E+000;-1.552740E+002;-1.554499E+002;-5.405273E+000
33342000;-3.185302E-002;-3.644904E-001;-1.552740E+002;-1.554343E+002;-4.262695E+000
33357000;3.441456E+000;6.471418E-001;-1.552740E+002;-1.554026E+002;-2.548828E+000
33372000;6.121220E+000;1.905761E+000;-1.552740E+002;-1.553823E+002;-6.591797E-001
33387000;8.468691E+000;3.193762E+000;-1.552740E+002;-1.553355E+002;1.230469E+000
33401000;9.680873E+000;5.146958E+000;-1.552740E+002;-1.552805E+002;2.988281E+000
33415000;9.994835E+000;6.671902E+000;-1.552740E+002;-1.552479E+002;4.526367E+000
33430000;9.353634E+000;8.836597E+000;-1.552740E+002;-1.552117E+002;5.493164E+000
33444000;7.844894E+000;9.821421E+000;-1.552740E+002;-1.551889E+002;6.020508E+000
33458000;5.600613E+000;1.034884E+001;-1.552740E+002;-1.551759E+002;5.888672E+000
33471000;3.041111E+000;1.033459E+001;-1.552740E+002;-1.551838E+002;5.361328E+000
33485000;1.592653E-002;1.007794E+001;-1.552740E+002;-1.551924E+002;4.306641E+000
33499000;-3.010752E+000;9.780288E+000;-1.552740E+002;-1.552156E+002;2.856445E+000
33512000;-5.574196E+000;9.253942E+000;-1.552740E+002;-1.552409E+002;1.450195E+000
33525000;-7.686506E+000;8.422949E+000;-1.552740E+002;-1.552629E+002;-4.833984E-001
33539000;-9.342319E+000;6.462580E+000;-1.552740E+002;-1.553106E+002;-2.416992E+000
33553000;-9.968620E+000;4.521357E+000;-1.552740E+002;-1.553727E+002;-3.779297E+000
33566000;-9.740819E+000;1.741685E+000;-1.552740E+002;-1.554182E+002;-4.965820E+000
33580000;-8.709691E+000;3.752862E-001;-1.552740E+002;-1.554456E+002;-5.581055E+000
