Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro
61191000;0.000000E+000;1.741188E+000;-1.998397E+001;2.359590E-001
61204000;0.000000E+000;2.179361E+000;-8.292117E+000;1.939203E-001
61217000;0.000000E+000;2.338288E+000;1.255904E+001;-1.706460E-001
61231000;0.000000E+000;2.348533E+000;1.912887E+001;-5.149707E-001
61245000;0.000000E+000;1.814321E+000;1.726997E+000;-3.945268E-001
61259000;0.000000E+000;1.748844E+000;-1.783910E+001;1.143635E-001
61273000;0.000000E+000;1.848601E+000;-1.504979E+001;2.338553E-001
61286000;0.000000E+000;2.108988E+000;6.659549E+000;-1.308067E-001
61300000;0.000000E+000;2.379840E+000;1.998132E+001;-4.837689E-001
61314000;0.000000E+000;1.910256E+000;8.263120E+000;-4.368502E-001
61327000;0.000000E+000;1.733780E+000;-1.253424E+001;-5.862176E-002
61340000;0.000000E+000;1.717163E+000;-1.984418E+001;2.276096E-001
61352000;0.000000E+000;1.905553E+000;-6.719585E+000;1.640372E-001
61366000;0.000000E+000;2.244016E+000;1.500776E+001;-2.093818E-001
61378000;0.000000E+000;2.189188E+000;1.955490E+001;-4.998960E-001
61391000;0.000000E+000;1.810292E+000;3.409710E+000;-3.698801E-001
61403000;0.000000E+000;1.570769E+000;-1.498668E+001;3.442800E-002
61415000;0.000000E+000;1.587085E+000;-1.913815E+001;2.781900E-001
61427000;0.000000E+000;1.826484E+000;-5.098689E+000;1.721244E-001
61441000;0.000000E+000;2.231293E+000;1.500776E+001;-2.297672E-001
61454000;0.000000E+000;2.205584E+000;1.856516E+001;-4.908519E-001
61467000;0.000000E+000;1.914149E+000;3.185306E-002;-3.206050E-001
61479000;0.000000E+000;1.836360E+000;-1.700843E+001;8.418161E-002
61493000;0.000000E+000;2.021377E+000;-1.705851E+001;2.765020E-001
61507000;0.000000E+000;2.246224E+000;3.378320E+000;-2.092701E-002
61520000;0.000000E+000;2.423385E+000;1.954820E+001;-4.078646E-001
61534000;0.000000E+000;2.229597E+000;1.258381E+001;-4.884561E-001
61547000;0.000000E+000;2.072347E+000;-8.205064E+000;-9.967619E-002
